tconst;averageRating;numVotes;Title;startYear;runtimeMinutes;genres;director
tt10620868;6.3;45132;#Alive;2020;98;Action,Drama,Horror;Il Cho
tt9850370;6.6;1726;#Anne Frank Parallel Stories;2019;92;Documentary,Drama,History;
tt6856592;3.1;1188;#Captured;2017;81;Horror,Thriller;Joe Homokay
tt10534500;8.8;14391;#Home;2021;158;Drama;Rojin Thomas
tt3526286;3;3866;#Horror;2015;97;Crime,Drama,Horror;Tara Subkoff
tt9828918;6;1253;#Iamhere;2019;97;Comedy;Éric Lartigau
tt23423222;8;2047;#Kaadal Kahaani;2022;93;Comedy,Drama,Family;Vinay Muppalla
tt6119504;5.1;6752;#Realityhigh;2017;99;Comedy,Drama,Romance;Fernando Lebrija
tt5531032;4.3;1202;#Screamers;2016;85;Horror,Mystery;Dean Matthew Ronalds
tt2075318;5.6;1229;#Stuck;2014;82;Comedy,Drama,Romance;Stuart Acher
tt0068152;6.3;2806;$;1971;121;Comedy,Crime,Drama;Richard Brooks
tt1024733;6.3;3588;$5 a Day;2008;98;Comedy,Drama;Nigel Cole
tt2106284;6.4;2173;$50K and a Call Girl: A Love Story;2014;90;Action,Adventure,Comedy;Seth Grossman
tt0790799;6.7;3440;$9.99;2008;78;Animation,Drama,Fantasy;Tatia Rosenthal
tt2258233;5.7;1076;$ellebrity;2012;89;Documentary;Kevin Mazur
tt2630898;7.4;1951;(Dis)Honesty: The Truth About Lies;2015;90;Documentary,Drama,News;Yael Melamede
tt10518924;6.8;1041;(Nie)znajomi;2019;103;Comedy,Drama;Tadeusz Sliwa
tt0349047;5.5;16372;(T)Raumschiff Surprise - Periode 1;2004;87;Comedy,Sci-Fi;Michael Herbig
tt1132193;6.2;2266;(Untitled);2009;96;Comedy,Drama,Music;Jonathan Parker
tt0092494;6.6;36982;*batteries not included;1987;106;Comedy,Family,Fantasy;Matthew Robbins
tt0063568;6.3;1853;... If You Meet Sartana Pray for Your Death.;1968;95;Action,Drama,Mystery;Gianfranco Parolini
tt0081964;6.4;2300;...All the Marbles;1981;113;Comedy,Drama,Sport;Robert Aldrich
tt0049189;6.3;9042;...And God Created Woman;1956;95;Drama,Romance;Roger Vadim
tt0381838;7.2;2249;...ing;2003;104;Drama,Romance;Eon-hie Lee
tt0473567;7.5;1194;...Yahaan;2005;142;Drama,Romance,War;Shoojit Sircar
tt0259822;5.5;8792;0.45;2006;101;Crime,Drama,Thriller;Gary Lennon
tt0278259;2.6;5033;.com for Murder;2002;96;Horror,Sci-Fi,Thriller;Nico Mastorakis
tt23727320;7.3;1064;@Love;2022;\N;Drama,Family;Sri Narayana
tt1649444;5;37193;[REC] 3: Genesis;2012;80;Horror,Thriller;Paco Plaza
tt1649443;5.3;19434;[REC] 4: Apocalypse;2014;95;Horror,Thriller;Jaume Balagueró
tt1245112;6.5;76741;[Rec]?;2009;85;Horror,Thriller;
tt13150080;5.3;1139;?A todo tren! Destino Asturias;2021;90;Comedy;Santiago Segura
tt22185848;5.5;2139;?Que viva México!;2023;191;Comedy;Luis Estrada
tt2395385;5.5;8395;1;2013;96;Romance,Sci-Fi,Thriller;Dennis Iliadis
tt10341248;4.9;1025;0.0 Mhz;2019;101;Horror;Sun-Dong Yoo
tt2416424;5.7;1273;00 Schneider - Im Wendekreis der Eidechse;2013;94;Comedy;
tt0109000;6.9;2652;00 Schneider - Jagd auf Nihil Baxter;1994;90;Comedy;Helge Schneider
tt2518788;7.9;4361;1;2013;112;Action,Documentary,History;Paul Crowder
tt4685428;5.3;4283;1 Buck;2017;90;Drama,Thriller;Fabien Dufils
tt4875960;3.6;3700;1 Interrogation;2020;95;Crime;Dan Hewitt Owens
tt0494724;7.8;1328;1 Litre of Tears;2005;98;Drama;Riki Okamura
tt2184233;6.3;2755;1 Mile to You;2017;104;Drama,Romance,Sport;Leif Tilden
tt4126694;5.7;2084;1 Night;2016;80;Drama,Romance;Minhal Baig
tt2353767;7;8056;1,000 Times Good Night;2013;117;Drama,War;Erik Poppe
tt3445702;6.1;10587;01.I;2018;85;Drama;Jeremy Phillips
tt2375559;8;46058;1: Nenokkadine;2014;170;Action,Thriller;Sukumar
tt5834036;6.5;1676;0.079166667;2016;106;Drama,Sport;Yan England
tt0078721;6.1;18955;10;1979;122;Comedy,Romance;Blake Edwards
tt3013386;4.4;1132;10 000 timmar;2014;94;Comedy;Joachim Hedén
tt1179933;7.2;344610;10 Cloverfield Lane;2016;103;Drama,Horror,Mystery;Dan Trachtenberg
tt3453052;5.7;2818;10 Days in a Madhouse;2015;111;Drama;Timothy Hines
tt24852002;6.1;1602;10 Days of a Bad Man;2023;123;Crime,Drama,Mystery;Uluç Bayraktar
tt23334464;6.5;4676;10 Days of a Good Man;2023;124;Crime,Drama,Mystery;Uluç Bayraktar
tt10251538;5.4;1056;10 Days with Dad;2020;104;Comedy,Family;Ludovic Bernard
tt5128266;5.2;1531;10 Endrathukulla;2015;144;Action,Adventure,Thriller;Vijay Milton
tt0499603;6.5;15898;10 Items or Less;2006;82;Comedy,Drama;Brad Silberling
tt1729630;5.9;1042;10 jours en or;2012;95;Comedy,Drama;Nicolas Brossette
tt8809652;3.6;4232;10 Minutes Gone;2019;89;Action,Crime,Mystery;Brian A. Miller
tt0066730;7.5;9410;10 Rillington Place;1971;111;Biography,Crime,Drama;Richard Fleischer
tt1993391;3.6;2993;10 Rules for Sleeping Around;2013;94;Comedy,Romance;Leslie Greif
tt0147800;7.3;366833;10 Things I Hate About You;1999;97;Comedy,Drama,Romance;Gil Junger
tt7939428;4.7;1404;10 Things We Should Do Before We Break Up;2020;74;Romance;Galt Niederhoffer
tt1422184;7.2;2739;10 to 11;2009;110;Drama;Pelin Esmer
tt0085121;6.3;8924;10 to Midnight;1983;101;Crime,Drama,Thriller;J. Lee Thompson
tt1715873;6.1;26685;10 Years;2011;110;Comedy,Drama,Romance;Jamie Linden
tt0443649;5.1;134102;10,000 BC;2008;109;Action,Adventure,Drama;Roland Emmerich
tt3488056;3.5;2570;10.0 Earthquake;2014;88;Action,Adventure,Drama;David Gidali
tt3114132;6.6;4751;10.000 Km;2014;99;Comedy,Drama,Romance;Carlos Marques-Marcet
tt8458736;6.5;1460;100;2019;141;Action;Sam Anton
tt2290065;6;4438;100 Bloody Acres;2012;91;Comedy,Horror;
tt0101244;6.4;1126;100 Days;1991;161;Horror,Romance,Thriller;Partho Ghosh
tt3995348;6.6;2491;100 Days of Love;2015;153;Comedy,Romance;Jenuse Mohamed
tt10949778;5.2;4332;100 Days to Live;2019;90;Crime,Thriller;Ravin Gandhi
tt0395677;6;3248;100 Days with Mr. Arrogant;2004;95;Comedy,Romance;Dong-yeob Shin
tt0899128;5.5;12962;100 Feet;2008;96;Horror,Mystery,Thriller;Eric Red
tt2297108;3.8;1196;100 Ghost Street: The Return of Richard Speck;2012;84;Horror,Mystery,Thriller;Martin Wichmann Andersen
tt0214388;5.8;23387;100 Girls;2000;94;Comedy,Romance;Michael Davis
tt5089786;7.5;6748;100 Meters;2016;108;Biography,Comedy,Drama;Marcel Barrena
tt0063970;6;3793;100 Rifles;1969;110;Adventure,Drama,War;Tom Gries
tt2990126;5.8;4369;100 Streets;2016;93;Crime,Drama;Jim O'Hanlon
tt8129794;6.3;6573;100 Things;2018;111;Comedy,Drama;Florian David Fitz
tt4080598;7.1;2372;100 Yen Love;2014;113;Comedy,Drama;Masaharu Take
tt5803528;5.1;1241;100% Coco;2017;88;Drama;Tessa Schram
tt1869226;7;3065;100% Love;2011;141;Comedy,Drama,Romance;Sukumar
tt8774798;5.6;2160;100% Wolf;2020;96;Adventure,Animation,Comedy;Alexs Stadermann
tt2210425;7.4;5033;1000 Congratulations;2009;115;Comedy,Drama,Fantasy;Ahmad Nader Galal
tt13782052;5.8;1857;1000 Miles from Christmas;2021;102;Comedy,Romance;Álvaro Fernández Armero
tt3346824;6.3;1569;1001 Grams;2014;93;Drama;Bent Hamer
tt0115433;5.7;115197;101 Dalmatians;1996;103;Adventure,Comedy,Crime;Stephen Herek
tt0237993;6.8;9842;101 Reykjavík;2000;88;Comedy,Romance;Baltasar Kormákur
tt0211181;4.8;38916;102 Dalmatians;2000;100;Adventure,Comedy,Family;Kevin Lima
tt6580564;7.4;7410;102 Not Out;2018;102;Comedy,Drama;Umesh Shukla
tt0360323;6.3;6784;10th & Wolf;2006;107;Crime,Drama,Thriller;Bobby Moresco
tt6210996;5.1;10781;10x10;2018;88;Drama,Mystery,Thriller;Suzi Ewing
tt1187047;3.7;2515;1? Knights - In Search of the Ravishing Princess Herzelinde;2008;115;Adventure,Comedy;
tt0071080;6.2;1144;11 Harrowhouse;1974;94;Comedy,Crime,Thriller;Aram Avakian
tt3865478;5.7;2002;11 Minutes;2015;81;Drama,Thriller;Jerzy Skolimowski
tt2655788;5.7;2562;11.VI;2013;102;Biography,Drama,Thriller;Philippe Godeau
tt0396401;3.6;1360;0.465972222;2004;95;Horror,Thriller;Micheal Bafaro
tt0331811;7.1;49236;0.468055556;2003;86;Comedy,Crime,Drama;Greg Marcks
tt1712159;3.9;12511;40858;2011;90;Horror,Mystery,Thriller;Darren Lynn Bousman
tt8660422;6.4;1016;118;2019;120;Action,Mystery,Thriller;K.V. Guhan
tt6275154;6.8;2095;11M: Terror in Madrid;2022;92;Documentary;Jose Gomez
tt0488478;7.6;15128;12;2007;159;Crime,Drama,Thriller;Nikita Mikhalkov
tt0417385;7.4;7038;12 and Holding;2005;95;Drama;Michael Cuesta
tt0050083;9;831997;12 Angry Men;1957;96;Crime,Drama;Sidney Lumet
tt5143226;5.2;16579;12 Feet Deep;2017;85;Horror,Thriller;Matt Eskandari
tt10309552;5.5;4867;12 Hour Shift;2020;86;Comedy,Horror,Thriller;Brea Grant
tt8482584;6.9;7594;12 Mighty Orphans;2021;118;History,Sport;Ty Roberts
tt0114746;8;635115;12 Monkeys;1995;129;Mystery,Sci-Fi,Thriller;Terry Gilliam
tt2420006;6.5;1504;12 O'Clock Boys;2013;76;Biography,Crime,Documentary;Lotfy Nathan
tt1160368;5.6;30001;12 Rounds;2009;108;Action,Crime,Thriller;Renny Harlin
tt2317524;5.3;5871;12 Rounds 2: Reloaded;2013;95;Action,Adventure,Thriller;Roel Reiné
tt3957956;5.1;4480;12 Rounds 3: Lockdown;2015;90;Action,Crime,Thriller;Stephen Reynolds
tt1413492;6.5;88692;12 Strong;2018;130;Action,Drama,History;Nicolai Fuglsig
tt9214844;5.8;1032;12 Suicidal Teens;2019;117;Mystery,Thriller;Yukihiko Tsutsumi
tt0054415;3.3;1319;12 to the Moon;1960;74;Sci-Fi;David Bradley
tt2024544;8.1;724850;12 Years a Slave;2013;134;Biography,Drama,History;Steve McQueen
tt2313780;1.9;1647;41255;2012;86;Horror;Jared Cohn
tt0809407;7.3;7950;12:08 East of Bucharest;2006;89;Comedy,Drama;Corneliu Porumboiu
tt1166085;7.2;6974;120;2008;114;Drama,History,War;
tt6135348;7.4;16355;120 BPM;2017;143;Drama;Robin Campillo
tt19638504;8.5;1051;120db Dhwani;2022;116;Crime,Drama,Thriller;
tt7867670;5.6;5755;122;2019;95;Horror,Thriller;Yasir Alyasiri
tt3512072;7.1;2184;125 Years Memory;2015;132;Drama,History;Mitsutoshi Tanaka
tt1542344;7.5;392067;127 Hours;2010;94;Biography,Drama;Danny Boyle
tt14986012;6.9;4346;12th Man;2022;163;Drama,Mystery,Thriller;Jeethu Joseph
tt0475169;7.3;17827;13;2005;93;Crime,Drama,Thriller;Géla Babluani
tt0798817;6;43236;13;2010;91;Crime,Drama,Thriller;Géla Babluani
tt4080028;6.2;1235;13;2014;100;Crime,Drama,Thriller;Houman Seyyedi
tt1436045;7.5;67515;13 Assassins;2010;141;Action,Adventure,Drama;Takashi Miike
tt4392454;5.2;5794;13 Cameras;2015;87;Crime,Horror,Thriller;Victor Zarcoff
tt2082152;4.5;3102;13 Eerie;2013;87;Horror;Lowell Dean
tt9077876;3.9;1157;13 Fanboy;2021;101;Horror;Deborah Voorhees
tt0053559;6;6730;13 Ghosts;1960;85;Horror,Mystery;William Castle
tt0337563;6.3;206583;13 Going on 30;2004;98;Comedy,Fantasy,Romance;Gary Winick
tt4172430;7.3;153563;13 Hours;2016;144;Action,Drama,History;Michael Bay
tt1708135;7;9794;13 Minutes;2015;114;Biography,Drama,War;Oliver Hirschbiegel
tt9274670;4.7;4608;13 Minutes;2021;108;Action,Drama,Thriller;Lindsay Gossling
tt0276744;5.7;1297;13 Moons;2002;93;Comedy;Alexandre Rockwell
tt0038279;6.9;2979;13 Rue Madeleine;1947;95;Action,Adventure,Drama;Henry Hathaway
tt1216275;6.7;1859;13 Semester;2009;101;Comedy,Drama,Romance;Frieder Wittich
tt2059171;6.3;38255;13 Sins;2014;93;Horror,Thriller;Daniel Stamm
tt2991516;2.9;2338;13/13/13;2013;86;Horror;James Cullen Bressack
tt0883995;6.6;6257;13: Game of Death;2006;114;Comedy,Crime,Drama;Chookiat Sakveerakul
tt16379224;6.4;1125;137 Shots;2021;104;Crime,Documentary;Michael Milano
tt1385824;7.3;8054;13B: Fear Has a New Address;2009;138;Drama,Horror,Mystery;Vikram K. Kumar
tt5895028;8.2;36946;13th;2016;100;Crime,Documentary,History;Ava DuVernay
tt1442571;6.3;8365;14 Blades;2010;114;Action,History,Thriller;Daniel Lee
tt7476438;4.6;3149;14 Cameras;2018;90;Crime,Horror,Thriller;
tt14079374;7.7;28961;14 Peaks: Nothing Is Impossible;2021;101;Adventure,Documentary,Sport;Torquil Jones
tt12887178;6.3;5192;14 Phere;2021;111;Comedy,Romance;Devanshu Singh
tt4427076;6.9;2046;14+;2015;102;Drama,Romance;Andrey Zaytsev
tt0450385;6.8;285641;1408;2007;104;Fantasy,Horror,Mystery;Mikael H?fström
tt0103594;6.4;31816;1492: Conquest of Paradise;1992;154;Adventure,Biography,Drama;Ridley Scott
tt0179626;6.1;51403;15 Minutes;2001;120;Action,Crime,Drama;John Herzfeld
tt8060774;6.4;3204;15 Minutes of War;2019;98;Action,Drama,History;Fred Grivois
tt0449159;7.2;1062;15 Park Avenue;2005;116;Drama;Aparna Sen
tt2368525;5.7;1366;15 Years and One Day;2013;96;Adventure,Drama;Gracia Querejeta
tt14878948;1.2;20595;15/07: Break of Dawn;2021;95;Action,Drama,War;Volkan Kocatürk
tt5247544;6.6;1475;150 Milligrams;2016;128;Biography,Drama;Emmanuelle Bercot
tt0450232;6.6;133406;16 Blocks;2006;102;Action,Drama,Thriller;Richard Donner
tt0313844;6.9;1356;16 December;2002;158;Action,Thriller;Mani Shankar
tt0331338;6.2;1736;16 Years of Alcohol;2003;102;Crime,Drama;Richard Jobson
tt1139085;5.6;2265;1612: Khroniki smutnogo vremeni;2007;144;Adventure,Drama,History;Vladimir Khotinenko
tt1663673;5.6;1697;16-Love;2012;88;Comedy,Drama,Family;Adam Lipsius
tt0974661;6.4;210732;17 Again;2009;102;Comedy,Drama,Fantasy;Burr Steers
tt1860152;6;3357;17 Girls;2011;86;Drama;
tt1909270;6.2;1630;17 Miracles;2011;113;Adventure,History;T.C. Christensen
tt0068156;7.6;10144;1776;1972;141;Drama,Family,History;Peter H. Hunt
tt0094593;5.7;4871;18 Again!;1988;93;Comedy,Fantasy,Romance;Paul Flaherty
tt1982848;7.4;1497;18 Days;2011;125;Comedy,Drama;
tt11915042;7;2663;18 Pages;2022;135;Romance;Palnati Surya Pratap
tt10816484;6.9;4099;18 Presents;2020;115;Drama;Francesco Amato
tt1407927;7.5;3133;180° South;2010;85;Documentary,Drama,Sport;Chris Malloy
